id,date,annee,mois,prix,nature_mutation,vefa,codtypbien,type_bien,surface_m2,code_commune,nb_lots,nb_appartements,nb_maisons,commune,prix_m2,altitude,station
6007064,2018-11-23,2018,11,135030.0,Vente,False,121,UN APPARTEMENT,20.0,73304,1,1,0,Val-d-Isère,6751.5,1887,Val d'Isère
6009410,2018-11-27,2018,11,155500.0,Vente,False,121,UN APPARTEMENT,30.0,73296,1,1,0,Tignes,5183.33,2142,Tignes
6009450,2018-12-20,2018,12,70000.0,Vente,False,121,UN APPARTEMENT,21.0,73150,1,1,0,La Plagne Tarentaise,3333.33,1988,La Plagne
5997034,2018-09-11,2018,9,128940.0,Vente,False,121,UN APPARTEMENT,22.0,73304,1,1,0,Val-d-Isère,5860.91,1845,Val d'Isère
5993494,2018-11-15,2018,11,73000.0,Vente,False,121,UN APPARTEMENT,27.0,73054,1,1,0,Bourg-Saint-Maurice,2703.7,1604,Les Arcs / Bourg-Saint-Maurice
5993900,2018-10-26,2018,10,93500.0,Vente,False,121,UN APPARTEMENT,30.0,73054,1,1,0,Bourg-Saint-Maurice,3116.67,1685,Les Arcs / Bourg-Saint-Maurice
5997085,2018-09-27,2018,9,379700.0,Vente,False,111,UNE MAISON,129.0,73054,1,0,1,Bourg-Saint-Maurice,2943.41,777,Les Arcs / Bourg-Saint-Maurice
6007832,2018-10-25,2018,10,498000.0,Vente,False,121,UN APPARTEMENT,96.0,73054,1,1,0,Bourg-Saint-Maurice,5187.5,2127,Les Arcs / Bourg-Saint-Maurice
6011553,2018-11-08,2018,11,270000.0,Vente,False,121,UN APPARTEMENT,30.0,73304,2,1,0,Val-d-Isère,9000.0,1821,Val d'Isère
6012294,2018-11-14,2018,11,57000.0,Vente,False,121,UN APPARTEMENT,30.0,73150,1,1,0,La Plagne Tarentaise,1900.0,1754,La Plagne
6012525,2018-08-29,2018,8,73000.0,Vente,False,121,UN APPARTEMENT,20.0,73150,1,1,0,La Plagne Tarentaise,3650.0,1987,La Plagne
6017252,2018-10-29,2018,10,692000.0,Vente en l'état futur d'achèvement,True,121,UN APPARTEMENT,93.0,73054,2,1,0,Bourg-Saint-Maurice,7440.86,1726,Les Arcs / Bourg-Saint-Maurice
6019110,2018-07-25,2018,7,54830.0,Vente,False,121,UN APPARTEMENT,24.0,73176,1,1,0,Montvalezan,2284.58,1846,La Rosière
6022960,2018-08-16,2018,8,74130.0,Vente,False,121,UN APPARTEMENT,25.0,73150,2,1,0,La Plagne Tarentaise,2965.2,1969,La Plagne
6021377,2018-11-09,2018,11,126000.0,Vente,False,121,UN APPARTEMENT,22.0,73304,1,1,0,Val-d-Isère,5727.27,1798,Val d'Isère
